ID,LATITUDE,LONGITUDE,Dekat_Sekolah,Dekat_Rumah_Sakit,Dekat_Pasar,Dekat_Rumah_Warga,Fasilitas_Umum_Masyarakat,Dilalui_Kendaraan_Umum,Kepadatan_Jalan,Dekat_Penginapan_Kost,Dekat_PT,Dekat_Rumah_Ibadah,Dekat_Stasiun,Dekat_Bandara,Dekat_Terminal,Kota
1,-6.11332,106.926321,1,1,1,1,1,1,3,0,1,1,0,0,0,Jakarta Utara
2,-6.103911,106.93959,0,1,0,1,1,1,3,0,0,1,0,0,0,Jakarta Utara
3,-6.10913,106.939307,1,0,0,1,1,0,1,0,0,1,0,0,0,Jakarta Utara
4,-6.110013,106.926087,1,1,0,1,1,1,2,0,0,1,0,0,0,Jakarta Utara
5,-6.108875,106.929053,1,0,0,1,1,1,2,0,0,1,0,0,0,Jakarta Utara
6,-6.127213,106.917113,0,1,1,0,1,1,3,0,0,0,0,0,0,Jakarta Utara
7,-6.109594,106.881646,0,0,0,0,1,1,2,0,1,0,1,0,1,Jakarta Utara
8,-6.109963,106.889981,0,0,0,0,1,1,2,0,1,1,1,0,1,Jakarta Utara
9,-6.114028,106.894395,1,0,1,1,1,1,3,1,1,0,0,0,0,Jakarta Utara
10,-6.132317,106.868304,1,1,0,1,1,1,2,0,1,0,0,0,0,Jakarta Utara
11,-6.12527,106.73703,1,0,0,0,1,1,2,1,1,0,0,0,0,Jakarta Utara
12,-6.126569,106.734823,1,0,1,1,0,0,3,0,0,0,0,0,0,Jakarta Utara
13,-6.144974,106.83432,1,0,0,1,1,1,3,1,1,1,1,0,0,Jakarta Utara
14,-6.145046,106.837743,1,0,0,0,0,0,1,0,0,1,1,0,0,Jakarta Utara
15,-6.128817,106.843995,0,0,0,1,0,0,2,0,0,1,1,0,0,Jakarta Utara
16,-6.133758,106.828882,0,1,0,0,1,1,2,0,0,1,1,0,0,Jakarta Utara
17,-6.126017,106.916997,1,1,1,1,1,1,2,0,0,1,0,0,0,Jakarta Utara
18,-6.124963,106.916723,1,1,1,1,1,1,2,0,0,1,0,0,0,Jakarta Utara
19,-6.135344,106.923211,1,1,0,1,0,0,1,0,0,1,0,0,0,Jakarta Utara
20,-6.134184,106.921288,1,0,0,1,0,1,2,1,0,1,0,0,0,Jakarta Utara
21,-6.144826,106.895478,1,0,1,0,1,1,1,1,1,1,0,0,0,Jakarta Utara
22,-6.149994,106.880444,1,0,0,1,0,1,2,0,1,1,0,0,0,Jakarta Utara
23,-6.146754,106.855053,1,0,0,1,0,1,2,1,0,0,0,0,0,Jakarta Utara
24,-6.133101,106.91946,0,0,0,1,0,0,1,1,1,1,0,0,0,Jakarta Utara
25,-6.13743,106.788726,0,0,0,1,1,1,3,1,1,1,0,0,0,Jakarta Utara
26,-6.13161,106.827216,0,0,1,0,1,1,2,1,1,1,1,0,0,Jakarta Utara
27,-6.136082,106.824093,0,0,1,0,1,1,3,1,1,1,1,0,0,Jakarta Utara
28,-6.140888,106.826664,0,0,0,1,1,1,3,1,1,1,0,0,0,Jakarta Utara
29,-6.143619,106.821009,0,0,0,1,0,0,1,1,1,1,0,0,0,Jakarta Utara
30,-6.138267,106.921783,1,1,0,1,1,1,2,1,1,1,0,0,0,Jakarta Utara
31,-6.132677,106.920468,1,0,0,1,1,1,2,1,1,1,0,0,0,Jakarta Utara
32,-6.127207,106.907269,0,1,1,1,1,1,3,1,1,1,0,0,0,Jakarta Utara
33,-6.125597,106.905785,1,0,0,1,1,1,2,0,1,0,0,0,0,Jakarta Utara
34,-6.141256,106.952421,1,0,0,1,1,1,1,1,0,1,0,0,0,Jakarta Utara
35,-6.097723,106.962006,1,0,0,1,1,1,2,1,1,1,0,0,0,Jakarta Utara
36,-6.1295,106.843057,0,0,0,1,0,1,2,1,1,1,1,0,0,Jakarta Utara
37,-6.151032,106.876413,1,0,0,1,1,1,2,0,1,1,0,0,0,Jakarta Utara
38,-6.144558,106.881718,0,0,0,0,1,1,2,0,1,0,0,0,0,Jakarta Utara
39,-6.138014,106.784209,0,1,0,0,1,1,2,1,0,1,0,0,0,Jakarta Utara
40,-6.139588,106.785468,0,1,0,1,0,0,2,1,0,1,0,0,0,Jakarta Utara
41,-6.123543,106.740359,0,1,0,0,1,1,3,0,1,0,0,0,0,Jakarta Utara
42,-6.122327,106.783208,0,0,0,0,1,0,3,1,1,0,0,0,0,Jakarta Utara
43,-6.11577,106.777635,0,0,0,0,1,0,2,1,0,0,0,0,0,Jakarta Utara
44,-6.159155,106.885192,1,0,0,0,1,0,2,1,0,1,0,0,0,Jakarta Utara
45,-6.133208,106.908689,1,0,0,1,0,0,2,0,0,0,0,0,0,Jakarta Utara
46,-6.110127,106.899423,1,1,0,0,1,1,2,1,1,0,0,0,0,Jakarta Utara
47,-6.108842,106.89946,1,1,0,0,0,1,3,0,0,0,0,0,0,Jakarta Utara
48,-6.124418,106.87904,1,0,0,1,0,1,2,0,1,1,0,0,0,Jakarta Utara
49,-6.117615,106.881518,1,1,0,0,0,0,2,1,1,0,0,0,0,Jakarta Utara
50,-6.120402,106.872638,1,0,1,1,0,1,3,1,0,0,0,0,,Jakarta Utara
51,-6.167166,106.8342,1,0,1,0,0,0,3,0,1,0,0,0,0,Jakarta Pusat
52,-6.164345,106.8322,0,0,1,0,1,0,3,1,0,1,1,0,0,Jakarta Pusat
53,-6.166352,106.8349,1,0,1,0,1,0,3,0,1,1,1,0,0,Jakarta Pusat
54,-6.162724,106.8361,1,0,0,1,0,0,1,1,1,1,0,0,0,Jakarta Pusat
55,-6.171026,106.845,0,0,0,1,0,0,1,1,1,1,1,0,0,Jakarta Pusat
56,-6.172976,106.8467,1,0,0,1,1,0,1,1,1,1,1,0,0,Jakarta Pusat
57,-6.176958,106.848,1,0,0,1,1,0,2,1,0,1,1,0,0,Jakarta Pusat
58,-6.176609,106.846,1,0,0,1,1,0,2,1,0,1,1,0,0,Jakarta Pusat
59,-6.17374,106.8195,0,0,0,0,1,1,2,1,1,1,1,0,0,Jakarta Pusat
60,-6.173,106.8205,0,0,0,0,1,1,2,1,1,0,1,0,0,Jakarta Pusat
61,-6.172664,106.8169,1,0,0,1,1,0,2,1,1,1,0,0,0,Jakarta Pusat
